itr_num, Layer_Name, Process_Name, Log_Prompt,11,Physical Layer,ReadSensor,Sensor read has been done,1
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
o Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
o Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
3,Edge Layer,SendSensorDataToCloud,Sensor Data has been sent to cloud,3
3,Cloud Layer,ReceivedSensorData,ReceivedSensorData from Edge layer,3
3,Cloud Layer,FeedSensorDataToMLModel,SensorData has been fed to ML model,3
3,Cloud Layer,ExecuteMLModel,MLModel has been executed,3
3,Cloud Layer,GetMLModelPrediction,GetMLModelPrediction,3
3,Cloud Layer,DecidetoTriggerActuator,DecidetoTriggerActuator,3
3,Physical Layer,TriggerActuatorToActivate,Activate Trigger,4
nt to physical layer,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CollectSensorData,Sensor Data has been collected,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Physical Layer,ReadSensor,Sensor read has been done,3
3,Physical Layer,SendSensorDataToEdge,Sensor data has been sent to Edge,3
3,Edge Layer,CleaningSensorData,Sensor Data has been Cleaned,3
3,Edge Layer,AggregateSensorData,Sensor Data has been Aggregated,3
